"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","Get environment variables","Cypress APIs","2026-07-16","passed","2026-07-16","","Cypress.env()","",""
"","154","Get current version of Cypress being run","Cypress APIs","2026-07-16","passed","2026-07-16","","Cypress.version","",""
"","186",".prevAll() - get all previous sibling DOM elements","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","510",".as() - alias a DOM element for later use","Aliasing","2026-07-16","passed","2026-07-16","","","",""
"","434","cy.fixture() - load a fixture","Files","2026-07-16","passed","2026-07-16","","","",""
"","347","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-07-16","passed","2026-07-16","","","",""
"","458",".as() - alias a route for later use","Aliasing","2026-07-16","passed","2026-07-16","","","",""
"","633","cy.request() - make an XHR request","Network Requests","2026-07-16","passed","2026-07-16","","","",""
"","192","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-07-16","passed","2026-07-16","","","",""
"","3787",".type() - type into a DOM element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","196",".invoke() - invoke a function on the current subject","Connectors","2026-07-16","passed","2026-07-16","","","",""
"","718","cy.reload() - reload the page","Navigation","2026-07-16","passed","2026-07-16","","","",""
"","863",".check() - check a checkbox or radio element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","185",".siblings() - get all sibling DOM elements","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","389","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-07-16","passed","2026-07-16","","","",""
"","210",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","295","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-07-16","passed","2026-07-16","","","",""
"","463",".submit() - submit a form","Actions","2026-07-16","passed","2026-07-16","","","",""
"","268","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-07-16","passed","2026-07-16","","","",""
"","390","cy.get() - query DOM elements","Querying","2026-07-16","passed","2026-07-16","","","",""
"","574","cy.visit() - visit a remote url","Navigation","2026-07-16","passed","2026-07-16","","","",""
"","282","cy.getAllCookies() - get all browser cookies","Cookies","2026-07-16","passed","2026-07-16","","","",""
"","298","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-07-16","passed","2026-07-16","","","",""
"","188",".spread() - spread an array as individual args to callback function","Connectors","2026-07-16","passed","2026-07-16","","","",""
"","493",".end() - end the command chain","Misc","2026-07-16","passed","2026-07-16","","","",""
"","2565","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-07-16","passed","2026-07-16","","","",""
"","373","cy.focused() - get the DOM element that has focus","Misc","2026-07-16","passed","2026-07-16","","","",""
"","403","can filter for uncompleted tasks","example to-do app","2026-07-16","passed","2026-07-16","","with a checked task","",""
"","286","Cypress.$ - call a jQuery method","Utilities","2026-07-16","passed","2026-07-16","","","",""
"","244",".dblclick() - double click on a DOM element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","714","best practices - selecting elements","Querying","2026-07-16","passed","2026-07-16","","","",""
"","576",".clear() - clears an input or textarea element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","321","cy.window() - get the global window object","Window","2026-07-16","passed","2026-07-16","","","",""
"","201",".eq() - get a DOM element at a specific index","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","226",".trigger() - trigger an event on a DOM element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","317","cy.clearCookie() - clear a browser cookie","Cookies","2026-07-16","passed","2026-07-16","","","",""
"","247","cy.wrap() - wrap an object","Misc","2026-07-16","passed","2026-07-16","","","",""
"","485","displays two todo items by default","example to-do app","2026-07-16","passed","2026-07-16","","","",""
"","191",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-07-16","passed","2026-07-16","","Cypress.dom","",""
"","411","Cypress._ - call a lodash method","Utilities","2026-07-16","passed","2026-07-16","","","",""
"","259","cy.location() - get window.location","Location","2026-07-16","passed","2026-07-16","","","",""
"","1645","retries the should callback until assertions pass","Assertions","2026-07-16","passed","2026-07-16","","Explicit Assertions","",""
"","289","cy.setCookie() - set a browser cookie","Cookies","2026-07-16","passed","2026-07-16","","","",""
"","194","invokes a callback function with the current subject","Connectors","2026-07-16","passed","2026-07-16","",".then()","",""
"","214","cy.readFile() - read file contents","Files","2026-07-16","passed","2026-07-16","","","",""
"","203",".filter() - get DOM elements that match the selector","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","289",".children() - get child DOM elements","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","935",".select() - select an option in a <select> element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","381","cy.request() - pass result to the second request","Network Requests","2026-07-16","passed","2026-07-16","","","",""
"","283","cy.writeFile() - write to a file","Files","2026-07-16","passed","2026-07-16","","","",""
"","356","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-07-16","passed","2026-07-16","","","",""
"","272",".each() - iterate over an array of elements","Connectors","2026-07-16","passed","2026-07-16","","","",""
"","484","can add new todo items","example to-do app","2026-07-16","passed","2026-07-16","","","",""
"","1000","cy.screenshot() - take a screenshot","Misc","2026-07-16","passed","2026-07-16","","Cypress.Screenshot","",""
"","191","Get CPU architecture name of underlying OS","Cypress APIs","2026-07-16","passed","2026-07-16","","Cypress.arch","",""
"","255",".debug() - enable or disable debugging","Cypress APIs","2026-07-16","passed","2026-07-16","","Cypress.Cookies","",""
"","2016",".click() - click on a DOM element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","340","cy.hash() - get the current URL hash","Location","2026-07-16","passed","2026-07-16","","","",""
"","197","cy.root() - query the root DOM element","Querying","2026-07-16","passed","2026-07-16","","","",""
"","210",".closest() - get closest ancestor DOM element","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","202",".its() - get properties on the current subject","Connectors","2026-07-16","passed","2026-07-16","","","",""
"","193",".next() - get next sibling DOM element","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","615","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-07-16","passed","2026-07-16","","","",""
"","181","Control what is printed to the Command Log","Cypress APIs","2026-07-16","passed","2026-07-16","","Cypress.log","",""
"","208",".and() - chain multiple assertions together","Assertions","2026-07-16","passed","2026-07-16","","Implicit Assertions","",""
"","1236","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-07-16","passed","2026-07-16","","","",""
"","217",".scrollIntoView() - scroll an element into view","Actions","2026-07-16","passed","2026-07-16","","","",""
"","2955","cy.viewport() - set the viewport size and dimension","Viewport","2026-07-16","passed","2026-07-16","","","",""
"","365","can delete all completed tasks","example to-do app","2026-07-16","passed","2026-07-16","","with a checked task","",""
"","362","can filter for completed tasks","example to-do app","2026-07-16","passed","2026-07-16","","with a checked task","",""
"","276","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-07-16","passed","2026-07-16","","","",""
"","2254","cy.scrollTo() - scroll the window or element to a position","Actions","2026-07-16","passed","2026-07-16","","","",""
"","208",".nextAll() - get all next sibling DOM elements","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","1030","cy.exec() - execute a system command","Misc","2026-07-16","passed","2026-07-16","","","",""
"","211","cy.fixture() or require - load a fixture","Files","2026-07-16","passed","2026-07-16","","","",""
"","228","Get and set configuration options","Cypress APIs","2026-07-16","passed","2026-07-16","","Cypress.config()","",""
"","63","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-07-16","passed","2026-07-16","","","",""
"","188",".focus() - focus on a DOM element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","57","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-07-16","passed","2026-07-16","","","",""
"","286","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-07-16","passed","2026-07-16","","","",""
"","187",".parents() - get parent DOM elements from DOM elements","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","467","cy.getCookie() - get a browser cookie","Cookies","2026-07-16","passed","2026-07-16","","","",""
"","862",".uncheck() - uncheck a checkbox element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","197","finds element by class name regex","Assertions","2026-07-16","passed","2026-07-16","","Explicit Assertions","",""
"","245","cy.title() - get the title","Window","2026-07-16","passed","2026-07-16","","","",""
"","197",".find() - get descendant DOM elements of the selector","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","363","cy.request() - save response in the shared test context","Network Requests","2026-07-16","passed","2026-07-16","","","",""
"","188","assert - assert shape of an object","Assertions","2026-07-16","passed","2026-07-16","","Explicit Assertions","",""
"","308","cy.request() with query parameters","Network Requests","2026-07-16","passed","2026-07-16","","","",""
"","190",".last() - get last DOM element","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","319","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-07-16","passed","2026-07-16","","","",""
"","194","can throw any error","Assertions","2026-07-16","passed","2026-07-16","","Explicit Assertions","",""
"","198",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","192",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","4650","cy.wait() - wait for a specific amount of time","Waiting","2026-07-16","passed","2026-07-16","","","",""
"","325","cy.wait() - wait for a specific route","Waiting","2026-07-16","passed","2026-07-16","","","",""
"","322",".should() - make an assertion about the current subject","Assertions","2026-07-16","passed","2026-07-16","","Implicit Assertions","",""
"","270",".rightclick() - right click on a DOM element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","193","expect - make an assertion about a specified subject","Assertions","2026-07-16","passed","2026-07-16","","Explicit Assertions","",""
"","197",".within() - query DOM elements within a specific element","Querying","2026-07-16","passed","2026-07-16","","","",""
"","272","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-07-16","passed","2026-07-16","","","",""
"","292",".add() - create a custom command","Cypress APIs","2026-07-16","passed","2026-07-16","","Cypress.Commands","",""
"","322","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-07-16","passed","2026-07-16","","","",""
"","524","cy.intercept() - route responses to matching requests","Network Requests","2026-07-16","passed","2026-07-16","","","",""
"","178","Get current spec information","Cypress APIs","2026-07-16","passed","2026-07-16","","Cypress.spec","",""
"","190",".parent() - get parent DOM element from DOM elements","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","183","yields the returned value to the next command","Connectors","2026-07-16","passed","2026-07-16","",".then()","",""
"","181","yields the value yielded by the last Cypress command inside","Connectors","2026-07-16","passed","2026-07-16","",".then()","",""
"","1879","cy.go() - go back or forward in the browser's history","Navigation","2026-07-16","passed","2026-07-16","","","",""
"","210","pass your own callback function to should()","Assertions","2026-07-16","passed","2026-07-16","","Explicit Assertions","",""
"","227","cy.contains() - query DOM elements with matching content","Querying","2026-07-16","passed","2026-07-16","","","",""
"","294","can check off an item as completed","example to-do app","2026-07-16","passed","2026-07-16","","","",""
"","204","matches unknown text between two elements","Assertions","2026-07-16","passed","2026-07-16","","Explicit Assertions","",""
"","180","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-07-16","passed","2026-07-16","","Cypress.Screenshot","",""
"","437","cy.request() - verify response using BDD syntax","Network Requests","2026-07-16","passed","2026-07-16","","","",""
"","197",".first() - get first DOM element","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","237","cy.url() - get the current URL","Location","2026-07-16","passed","2026-07-16","","","",""
"","186",".not() - remove DOM elements from set of DOM elements","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","165","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-07-16","passed","2026-07-16","","","",""
"","177","Get underlying OS name","Cypress APIs","2026-07-16","passed","2026-07-16","","Cypress.platform","",""
"","487",".blur() - blur off a DOM element","Actions","2026-07-16","passed","2026-07-16","","","",""
"","200","cy.document() - get the document object","Window","2026-07-16","passed","2026-07-16","","","",""
"","193",".prev() - get previous sibling DOM element","Traversal","2026-07-16","passed","2026-07-16","","","",""
"","179","yields the original subject without return","Connectors","2026-07-16","passed","2026-07-16","",".then()","",""
